route_path,menu_title,parent_group,component_file,permission,route_name,football_path,football_component,component_name,hide_in_menu,in_layout,excluded_m9,data_scope,menu_id
/author/:id/dashboard,作者看板,,@/views/operations/AuthorDashboard.vue,oa:author:list,AuthorDashboard,/ops/author/:id/dashboard,ops/operations/AuthorDashboard,AuthorDashboard,Y,N,N,,
/collect/task/:id,编辑采集任务,,@/views/collect/task-edit.vue,oa:collect:list,CollectTaskEdit,/ops/collect/task/:id,ops/collect/task-edit,CollectTaskEdit,Y,N,N,,
/company/:id,公司详情,,@/views/internal/CompanyDetail.vue,oa:company:list,CompanyDetail,/ops/company/:id,ops/internal/CompanyDetail,CompanyDetail,Y,N,N,,
/content/edit,内容创作,,@/views/production/content/edit.vue,oa:content:list,ContentEdit,/ops/content/edit,ops/production/content/edit,ContentEdit,Y,N,N,,
/content/edit/:id,内容编辑,,@/views/production/content/edit.vue,oa:content:list,ContentEditWithId,/ops/content/edit/:id,ops/production/content/edit,ContentEditWithId,Y,N,N,,
/finance/cost/edit,成本录入,,@/views/finance/CostEntry.vue,oa:finance:list,CostEntry,/ops/finance/cost/edit,ops/finance/CostEntry,CostEntry,Y,N,N,,
/finance/roi/trend,ROI 趋势,,@/views/finance/RoiTrend.vue,oa:finance:list,RoiTrend,/ops/finance/roi/trend,ops/finance/RoiTrend,RoiTrend,Y,N,N,,
/industry-data,行业数据,,@/views/analysis/IndustryData.vue,oa:industry-data:list,IndustryData,/ops/industry-data,ops/analysis/IndustryData,IndustryData,Y,N,N,,
/internal-content/:id,作品详情,,@/views/operations/InternalContentDetail.vue,oa:internal-content:list,InternalContentDetail,/ops/internal-content/:id,ops/operations/InternalContentDetail,InternalContentDetail,Y,N,N,MEMBER_GROUPS,6158
/layout-template/:id,模板预览,,@/views/production/layout-template/preview.vue,oa:layout-template:list,LayoutTemplatePreview,/ops/layout-template/:id,ops/production/layout-template/preview,LayoutTemplatePreview,Y,N,N,,
/layout-template/:id/edit,编辑公推模板,,@/views/production/layout-template/edit.vue,oa:layout-template:list,LayoutTemplateEdit,/ops/layout-template/:id/edit,ops/production/layout-template/edit,LayoutTemplateEdit,Y,N,N,,
/layout-template/create,新建公推模板,,@/views/production/layout-template/edit.vue,oa:layout-template:list,LayoutTemplateCreate,/ops/layout-template/create,ops/production/layout-template/edit,LayoutTemplateCreate,Y,N,N,,
/layout-template/import,模板导入,,@/views/production/layout-template/import.vue,oa:layout-template:list,LayoutTemplateImport,/ops/layout-template/import,ops/production/layout-template/import,LayoutTemplateImport,Y,N,N,,
/perf/order-attribution/roi,ROI 分析,,@/views/performance/OrderAttributionRoi.vue,oa:perf:list,OrderAttributionRoi,/ops/perf/order-attribution/roi,ops/performance/OrderAttributionRoi,OrderAttributionRoi,Y,N,N,,
/perf/record/:id,执行详情,,@/views/performance/PerfRecordDetail.vue,oa:perf:list,PerfRecordDetail,/ops/perf/record/:id,ops/performance/PerfRecordDetail,PerfRecordDetail,Y,N,N,,
/perf/result/:userId/trend,个人绩效趋势,,@/views/performance/PerfUserTrend.vue,oa:perf:list,PerfUserTrend,/ops/perf/result/:userId/trend,ops/performance/PerfUserTrend,PerfUserTrend,Y,N,N,,
/perf/template/:id,模板编辑,,@/views/performance/PerfTemplateEdit.vue,oa:perf:list,PerfTemplateEdit,/ops/perf/template/:id,ops/performance/PerfTemplateEdit,PerfTemplateEdit,Y,N,N,,
/platform-account/:id,平台账号详情,,@/views/internal/PlatformAccountDetail.vue,oa:platform-account:list,PlatformAccountDetail,/ops/platform-account/:id,ops/internal/PlatformAccountDetail,PlatformAccountDetail,Y,N,N,MEMBER_GROUPS,6149
/realname/:id,实名人详情,,@/views/internal/RealnameDetail.vue,oa:realname:list,RealnameDetail,/ops/realname/:id,ops/internal/RealnameDetail,RealnameDetail,Y,N,N,,
/screen/:id,数据大屏,,@/views/screen/DataScreenFullscreen.vue,oa:screen:list,DataScreenFullscreenById,/ops/screen/:id,ops/screen/DataScreenFullscreen,DataScreenFullscreenById,Y,N,N,,
/simcard/:id/linked,跨平台查询,,@/views/internal/SimCardLinked.vue,oa:simcard:list,SimCardLinked,/ops/simcard/:id/linked,ops/internal/SimCardLinked,SimCardLinked,Y,N,N,,
/sop/:id/edit,编辑SOP模板,,@/views/production/sop/edit.vue,oa:sop:list,SopEdit,/ops/sop/:id/edit,ops/production/sop/edit,SopEdit,Y,N,N,,
/task/:id/execute,任务执行,,@/views/production/task/execute.vue,oa:task:list,TaskExecute,/ops/task/:id/execute,ops/production/task/execute,TaskExecute,Y,N,N,ASSIGNEE,6124
/triple-rel,三方关联统计,,@/views/internal/TripleRelManage.vue,oa:triple-rel:list,TripleRel,/ops/triple-rel,ops/internal/TripleRelManage,TripleRel,Y,N,N,,
/wechat-data,微信数据分析,,@/views/analysis/WechatDataAnalysis.vue,oa:wechat-data:list,WechatData,/ops/wechat-data,ops/analysis/WechatDataAnalysis,WechatData,Y,N,N,,
/workbench-todos,全部待办,,@/views/WorkbenchTodos.vue,oa:home:view,WorkbenchTodos,/ops/workbench-todos,ops/WorkbenchTodos,WorkbenchTodos,Y,N,N,,
/system-role,角色权限,系统管理(OA),@/views/system/RoleManage.vue,,SystemRole,/ops/system-role,ops/system/RoleManage,SystemRole,Y,Y,Y,,
/system-tenant,租户管理,系统管理(OA),@/views/system/TenantManage.vue,,SystemTenant,/ops/system-tenant,ops/system/TenantManage,SystemTenant,Y,Y,Y,,
/system-user,用户管理,系统管理(OA),@/views/system/UserManage.vue,,SystemUser,/ops/system-user,ops/system/UserManage,SystemUser,Y,Y,Y,,
